product_id,title,model,description,category_id,sub_category_id,units,weight,dimensions,image_link,rating,stock,price,discount,sku,seller_id,created_at,updated_at,SKU,category_name,is_draft,location,seller_name,sub_category_name,isActive,__v,text
1,Bosch GSB 500W 10 RE Professional Tool Kit,GSB 10 RE,A powerful and compact tool kit suitable for various drilling applications.,1,1.0,piece,2.5,"{'width': 25, 'height': 10, 'length': 30}",https://plus.unsplash.com/premium_photo-1721460167419-2d0316b72ffb,5.0,50,4999.0,10.0,SKU001,1.0,2025-01-20 17:34:58.181357,2025-01-20 17:34:58.181357,,,,,,,,,Bosch GSB 500W 10 RE Professional Tool Kit A powerful and compact tool kit suitable for various drilling applications. SKU001 1 1.0
2,Stanley 600W Small Angle Grinder,STGS6100,Ideal for grinding and cutting metal and stone materials.,1,2.0,piece,1.8,"{'width': 12, 'height': 10, 'length': 35}",https://plus.unsplash.com/premium_photo-1721460167419-2d0316b72ffb,4.0,30,2999.0,5.0,SKU002,1.0,2025-01-20 17:34:58.181357,2025-01-20 17:34:58.181357,,,,,,,,,Stanley 600W Small Angle Grinder Ideal for grinding and cutting metal and stone materials. SKU002 1 2.0
3,HP LaserJet Pro MFP M126nw Printer,M126nw,A multifunction printer with wireless printing capability.,2,3.0,piece,8.0,"{'width': 30, 'height': 25, 'length': 42}",https://plus.unsplash.com/premium_photo-1721460167419-2d0316b72ffb,5.0,20,15999.0,15.0,SKU003,2.0,2025-01-20 17:34:58.181357,2025-01-20 17:34:58.181357,,,,,,,,,HP LaserJet Pro MFP M126nw Printer A multifunction printer with wireless printing capability. SKU003 2 3.0
4,Camlin Kokuyo Permanent Marker,Permanent Marker,Suitable for writing on various surfaces with quick-drying ink.,2,4.0,box,0.5,"{'width': 5, 'height': 2, 'length': 15}",https://plus.unsplash.com/premium_photo-1721460167419-2d0316b72ffb,4.0,100,150.0,0.0,SKU004,2.0,2025-01-20 17:34:58.181357,2025-01-20 17:34:58.181357,,,,,,,,,Camlin Kokuyo Permanent Marker Suitable for writing on various surfaces with quick-drying ink. SKU004 2 4.0
11,Adjustable Wrench,AW-2025,Heavy-duty adjustable wrench with precision scale,1,1.0,piece,1.2,"{'width': '50mm', 'height': '20mm', 'length': '300mm'}",https://plus.unsplash.com/premium_photo-1721460167419-2d0316b72ffb,4.0,50,450.0,5.0,SKU-HT-ADJ2025,1.0,2025-01-21 13:26:10.736381,2025-01-21 13:26:10.736381,,,,,,,,,Adjustable Wrench Heavy-duty adjustable wrench with precision scale SKU-HT-ADJ2025 1 1.0
12,Box End Wrench Set,BEWS-2025,Set of 8 box-end wrenches in various sizes,1,1.0,set,2.0,"{'width': '150mm', 'height': '80mm', 'length': '400mm'}",https://plus.unsplash.com/premium_photo-1721460167419-2d0316b72ffb,5.0,40,1200.0,10.0,SKU-HT-BEW2025,2.0,2025-01-21 13:26:10.736381,2025-01-21 13:26:10.736381,,,,,,,,,Box End Wrench Set Set of 8 box-end wrenches in various sizes SKU-HT-BEW2025 1 1.0
13,Cordless Hammer Drill,CHD-3050,High-performance cordless hammer drill with 20V battery,4,1.0,piece,2.5,"{'length': 1, 'width': 2, 'height': 0.5}",https://plus.unsplash.com/premium_photo-1721460167419-2d0316b72ffb,4.0,30,3200.0,8.0,SKU-PT-CHD3050,3.0,2025-01-21 13:27:25.373178,2025-03-26 12:52:26.503000,abc125,CORDLESS,False,AECR,ADC,HWELLO,,,Cordless Hammer Drill High-performance cordless hammer drill with 20V battery SKU-PT-CHD3050 4 1.0
14,Impact Drill Kit,IDK-3051,Comprehensive impact drill kit with 10 accessories,1,2.0,kit,4.0,"{'width': '200mm', 'height': '150mm', 'length': '450mm'}",https://plus.unsplash.com/premium_photo-1721460167419-2d0316b72ffb,5.0,25,5000.0,12.0,SKU-PT-IDK3051,4.0,2025-01-21 13:27:25.373178,2025-01-21 13:27:25.373178,,,,,,,,,Impact Drill Kit Comprehensive impact drill kit with 10 accessories SKU-PT-IDK3051 1 2.0
20,Cordless Hammer Drill,CHD-3050,High-performance cordless hammer drill with 20V battery,1,2.0,piece,2.5,"{'width': '80mm', 'height': '200mm', 'length': '350mm'}",https://plus.unsplash.com/premium_photo-1721460167419-2d0316b72ffb,4.0,30,3200.0,8.0,SKU-PT-CHD3051,2.0,2025-01-21 13:32:39.184326,2025-01-21 13:32:39.184326,,,,,,,,,Cordless Hammer Drill High-performance cordless hammer drill with 20V battery SKU-PT-CHD3051 1 2.0
21,Impact Drill Kit,IDK-3051,Comprehensive impact drill kit with 10 accessories,1,2.0,kit,4.0,"{'width': '200mm', 'height': '150mm', 'length': '450mm'}",https://plus.unsplash.com/premium_photo-1721460167419-2d0316b72ffb,5.0,25,5000.0,12.0,SKU-PT-IDK3052,2.0,2025-01-21 13:32:39.184326,2025-01-21 13:32:39.184326,,,,,,,,,Impact Drill Kit Comprehensive impact drill kit with 10 accessories SKU-PT-IDK3052 1 2.0
